comm,dso,symbol,cycles
"g4run","libG4particles.so","G4PhaseSpaceDecayChannel::ThreeBodyDecayIt",53238911
"g4run","libG4processes.so","0x00000000003cd3e4",53238823
"g4run","libG4processes.so","G4BraggModel::MaxSecondaryEnergy",53236271
"g4run","libG4processes.so","0x00000000003bd810",53231676
"g4run","libG4processes.so","0x00000000003c7ec4",53227153
"g4run","libG4processes.so","G4VEmissionProbability::SampleEnergy",53222653
"g4run","libG4geometry.so","0x00000000000a0044",53215030
"g4run","libG4processes.so","0x00000000003b0f84",53202342
"g4run","libG4processes.so","0x00000000003acd14",53196173
"g4run","libG4track.so","G4ParticleChangeForGamma::UpdateStepForAtRest",53195501
"g4run","libG4geometry.so","0x000000000009f784",53194755
"g4run","libG4geometry.so","G4VIntersectionLocator::ReEstimateEndpoint",53191954
"g4run","libG4processes.so","G4BGGPionElasticXS::IsElementApplicable",53191456
"g4run","g4run","0x000000000000dff4",53184136
"g4run","libG4processes.so","0x00000000003d0fe4",53172529
"g4run","libG4particles.so","G4DynamicParticle::G4DynamicParticle",53167072
"g4run","libG4particles.so","0x0000000000033f24",53164709
"g4run","libG4processes.so","G4BinaryCascade::ApplyCollision",53159099
"g4run","libG4processes.so","0x00000000003d1930",53155052
"g4run","libG4processes.so","G4ElementaryParticleCollider::generateSCMpionAbsorption",53154917
"g4run","libG4processes.so","0x00000000003af674",53153975
"g4run","libG4processes.so","G4InuclSpecialFunctions::csPN",53153920
"g4run","libG4processes.so","0x00000000003b1b00",53153894
"g4run","libG4processes.so","0x00000000003b8ef4",53151486
"g4run","libG4processes.so","0x00000000003ce5b4",53150451
"g4run","libG4track.so","G4ParticleChangeForDecay::CheckIt",53149340
"g4run","libG4processes.so","0x00000000003bf464",53147774
"g4run","libG4processes.so","G4Fancy3DNucleus::ChooseFermiMomenta",53146388
"g4run","libG4processes.so","G4CascadeInterface::checkFinalResult",53146321
"g4run","libG4processes.so","G4NeutronKiller::PostStepDoIt",53143892
"g4run","libG4processes.so","0x00000000003c7b04",53141934
"g4run","libG4processes.so","G4NuclearFermiDensity::GetRelativeDensity",53136957
"g4run","libG4processes.so","0x00000000003d30d4",53132506
"g4run","libG4geometry.so","0x000000000009d2b4",53130545
"g4run","libG4geometry.so","0x000000000009a324",53127771
"g4run","libG4geometry.so","0x000000000009c9e4",53124236
"g4run","libG4processes.so","0x00000000003c2d60",53119740
"g4run","libG4processes.so","0x00000000003bbba4",53118874
"g4run","libG4processes.so","std::__introsort_loop<__gnu_cxx::__normal_iterator<G4Fancy3DNucleusHelper*, std::vector<G4Fancy3DNucleusHelper, std::allocator<G4Fancy3DNucleusHelper> > >, long, __gnu_cxx::__ops::_Iter_less_iter>",53115667
"g4run","libG4processes.so","0x00000000003c3850",53097725
"g4run","libG4processes.so","0x00000000003c5dd0",53093511
"g4run","libstdc++.so.6.0.30","operator delete",53092185
"g4run","libG4processes.so","G4NuclearRadii::ExplicitRadius",53091728
"g4run","libG4processes.so","0x00000000003b2960",53089465
"g4run","libG4processes.so","G4PreCompoundModel::DeExcite",53085991
"g4run","libG4particles.so","G4ParticleTable::CheckReadiness",53085636
"g4run","libG4particles.so","G4Triton::Definition",53081832
"g4run","libG4processes.so","0x00000000003cba14",53078102
"g4run","libG4processes.so","0x00000000003ad3b4",53074031
"g4run","libG4processes.so","0x00000000003afc94",53071411
"g4run","libG4processes.so","G4Fancy3DNucleus::G4Fancy3DNucleus",53070640
"g4run","libG4processes.so","0x00000000003ba890",53069657
"g4run","libG4processes.so","0x00000000003b2964",53065659
"g4run","libG4processes.so","0x00000000003c8c90",53063117
"g4run","libG4processes.so","G4CascadeFunctions<G4CascadePiMinusNChannelData, G4PionNucSampler>::getMultiplicity",53062288
"g4run","libG4processes.so","0x00000000003b1ea4",53060473
"g4run","libG4processes.so","0x00000000003cacf4",53051386
"g4run","libG4processes.so","G4VEnergyLossProcess::GetLambdaForScaledEnergy",53047972
"g4run","libG4processes.so","0x00000000003afcd4",53040377
"g4run","libm.so.6","0x000000000000e380",53031437
"g4run","libstdc++.so.6.0.30","std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_replace",53015966
"g4run","libG4processes.so","0x00000000003ce3b0",53011826
"g4run","libG4track.so","0x000000000000b044",53010696
"g4run","libG4geometry.so","0x000000000009a8d0",53009960
"g4run","libstdc++.so.6.0.30","0x000000000009f104",53008050
"g4run","libG4geometry.so","0x000000000009f594",53004330
"g4run","libG4processes.so","0x00000000003b1094",53000716
"g4run","libG4processes.so","0x00000000003bf1e4",52998440
"g4run","libG4processes.so","0x00000000003acc44",52995161
"g4run","libG4processes.so","0x00000000003c9a44",52985592
"g4run","libG4processes.so","G4Fragment::G4Fragment",52978770
"g4run","libG4processes.so","0x00000000003ac6b0",52978142
"g4run","libG4tracking.so","0x0000000000013d54",52972841
"g4run","libstdc++.so.6.0.30","0x00000000000a2164",52968229
"g4run","libG4particles.so","std::_Rb_tree<int, std::pair<int const, G4ParticleDefinition const*>, std::_Select1st<std::pair<int const, G4ParticleDefinition const*> >, std::less<int>, std::allocator<std::pair<int const, G4ParticleDefinition const*> > >::_M_insert_equal<std::pair<int const, G4ParticleDefinition const*> >",52964675
"g4run","libG4processes.so","0x00000000003bc254",52959369
"g4run","libG4processes.so","G4Fancy3DNucleus::GetNextNucleon",52956844
"g4run","libG4processes.so","G4PreCompoundProton::GetRj",52952685
"g4run","libG4processes.so","0x00000000003d44b4",52947399
"g4run","libG4geometry.so","0x000000000009fba4",52945880
"g4run","libG4processes.so","0x00000000003c6110",52937483
"g4run","libc.so.6","0x0000000000028590",52920753
"g4run","libG4processes.so","G4CollisionOutput::getRecoilFragment",52912875
"g4run","libG4processes.so","0x00000000003c0614",52910068
"g4run","libG4processes.so","0x00000000003b1474",52909741
"g4run","libstdc++.so.6.0.30","0x000000000009ebd4",52908262
"g4run","libG4event.so","0x000000000001c774",52901292
"g4run","libG4particles.so","std::_Rb_tree<G4String, std::pair<G4String const, G4ParticleDefinition*>, std::_Select1st<std::pair<G4String const, G4ParticleDefinition*> >, std::less<G4String>, std::allocator<std::pair<G4String const, G4ParticleDefinition*> > >::find",52899079
"g4run","libG4processes.so","0x00000000003b1934",52891382
"g4run","libG4geometry.so","field_utils::copy",52885982
"g4run","libG4processes.so","G4ElasticHadrNucleusHE::HadronNucleusQ2_2",52872348
"g4run","libG4processes.so","G4CascadeFunctions<G4CascadePiZeroPChannelData, G4PionNucSampler>::getCrossSection",52862599
"g4run","libG4processes.so","non-virtual thunk to G4CascadeNNChannel::findCrossSection(double, double const (&) [30]) const",52849850
"g4run","libG4processes.so","0x00000000003b87b4",52846736
"g4run","libstdc++.so.6.0.30","0x00000000000a1044",52845148
"g4run","libG4processes.so","G4NuclearRadii::CoulombFactor",52811152
"g4run","libG4processes.so","0x00000000003acee4",52801354
"g4run","libG4geometry.so","0x000000000009b684",52795815
"g4run","libG4processes.so","0x00000000003ad324",52783990
"g4run","libG4event.so","0x000000000001ce70",52759041
"g4run","libG4particles.so","0x00000000000360a4",52742477
"g4run","libG4event.so","0x000000000001d080",52707420
"g4run","libG4processes.so","0x00000000003c2de0",52700609
"g4run","libG4processes.so","0x00000000003b0050",52670778
"g4run","libG4processes.so","0x00000000003b6bf0",52667006
"g4run","libG4processes.so","0x00000000003c6884",52664356
"g4run","libG4geometry.so","0x000000000009b184",52627026
"g4run","libG4geometry.so","0x0000000000099a84",52612102
"g4run","libG4processes.so","0x00000000003bb0d0",52602600
"g4run","libG4geometry.so","0x000000000009eb04",52585164
"g4run","libG4processes.so","0x00000000003b6bf4",52578166
"g4run","libG4geometry.so","0x000000000009ce04",52545474
"g4run","libG4tracking.so","0x0000000000013ab4",52531739
"g4run","libG4processes.so","0x00000000003ce284",52398544
"g4run","libG4geometry.so","0x0000000000099994",52280291
"g4run","libG4geometry.so","0x000000000009a8d4",51298940
"g4run","libc.so.6","pthread_mutex_unlock@@GLIBC_2.2.5",47550706
"g4run","libG4processes.so","G4MuBremsstrahlungModel::ComputeCrossSectionPerAtom",40256545
"g4run","libG4geometry.so","G4LogicalVolume::AssignFieldManager",40158126
"g4run","libstdc++.so.6.0.30","0x000000000009f100",40126865
"g4run","libstdc++.so.6.0.30","std::use_facet<std::ctype<char> >",40047083
"g4run","libG4geometry.so","G4BoundingEnvelope::CheckBoundingBox",39903201
"g4run","libG4processes.so","G4PhysicsVector::Value",39854130
"g4run","libG4processes.so","G4EmCorrections::ShellCorrection",39850197
"g4run","libG4processes.so","G4ICRU73QOModel::GetL1",39845252
"g4run","libG4processes.so","G4ICRU73QOModel::GetOscillatorEnergy",39830508
"g4run","libxerces-c-3.2.so","xercesc_3_2::IGXMLScanner::scanStartTagNS",39795537
"g4run","libG4processes.so","G4LevelReader::ReadDataItem",39772677
"g4run","libG4processes.so","G4KleinNishinaCompton::ComputeCrossSectionPerAtom",39771574
"g4run","libstdc++.so.6.0.30","std::string::reserve",39741555
"g4run","libG4processes.so","G4PairProductionRelModel::ComputeParametrizedXSectionPerAtom",39738500
"g4run","libG4processes.so","G4MuBremsstrahlungModel::ComputMuBremLoss",39737937
"g4run","libG4processes.so","G4FermiFragmentsPoolVI::IsInThePool",39705232
"g4run","libstdc++.so.6.0.30","0x000000000009eab0",39674874
"g4run","libstdc++.so.6.0.30","std::num_get<char, std::istreambuf_iterator<char, std::char_traits<char> > >::do_get",39649037
"g4run","libG4processes.so","G4MollerBhabhaModel::ComputeDEDXPerVolume",39629447
"g4run","libG4processes.so","G4BetheBlochModel::ComputeDEDXPerVolume",39544600
"g4run","libG4geometry.so","G4UnionSolid::CalculateExtent",39514001
"g4run","libstdc++.so.6.0.30","std::istream::_M_extract<double>",39495440
"g4run","libc.so.6","__mpn_mul_1",39491490
"g4run","libG4persistency.so","G4GDMLReadStructure::StructureRead",39441397
"g4run","libxerces-c-3.2.so","xercesc_3_2::DOMAttrImpl::getNodeType",39440297
"g4run","libG4persistency.so","G4GDMLReadStructure::PhysvolRead",39428539
"g4run","libicuuc.so.70.1","0x00000000000cecfe",39422874
"g4run","libc.so.6","isspace",39420959
"g4run","libG4persistency.so","G4GDMLReadStructure::VolumeRead",39418080
"g4run","libG4processes.so","G4MuBetheBlochModel::ComputeDEDXPerVolume",39412248
"g4run","libG4run.so","std::_Rb_tree<G4String, std::pair<G4String const, std::vector<G4LogicalVolume*, std::allocator<G4LogicalVolume*> > >, std::_Select1st<std::pair<G4String const, std::vector<G4LogicalVolume*, std::allocator<G4LogicalVolume*> > > >, std::less<G4String>, std::allocator<std::pair<G4String const, std::vector<G4LogicalVolume*, std::allocator<G4LogicalVolume*> > > > >::find",39411674
"g4run","libG4persistency.so","0x000000000003df20",39411622
"g4run","libG4persistency.so","G4GDMLReadDefine::VectorRead",39410203
"g4run","libicuuc.so.70.1","0x00000000000e98bb",39407657
"g4run","libxerces-c-3.2.so","xercesc_3_2::XMLReader::skipSpaces",39404248
"g4run","libG4processes.so","G4XNDeltastarTable::CrossSectionTable",39391517
"g4run","libc.so.6","unlink_chunk.constprop.0",39390908
"g4run","libG4persistency.so","G4GDMLRead::Transcode",39388470
"g4run","libG4clhep.so","CLHEP::HepRotation::rectify",39386465
"g4run","libicuuc.so.70.1","ucnv_fromUnicode_UTF8_70",39381128
"g4run","libstdc++.so.6.0.30","std::basic_filebuf<char, std::char_traits<char> >::xsgetn",39348852
"g4run","libG4clhep.so","engine",39339521
"g4run","g4run","CMSMagneticField::CMSMagneticField",39329196
